#proteinId,ecNum,definition,catalyticActivity,cofactors,associatedDiseases,pathway,pathway_class,pathway_type
6,4.4.1.14,1-aminocyclopropane-1-carboxylate synthase.,S-adenosyl-L-methionine = 1-aminocyclopropane-1-carboxylate + methylthioadenosine.,Pyridoxal-phosphate.,\N,Propanoate metabolism,Carbohydrate Metabolism,METABOLIC
6690,3.4.19.12,Ubiquitinyl hydrolase 1.,"Thiol-dependent hydrolysis of ester, thiolester, amide, peptide and isopeptide bonds formed by the C-terminal Gly of ubiquitin (a 76-residue protein attached to proteins as an intracellular targeting signal).",\N,\N,\N,\N,\N
6695,3.1.1.45,Carboxymethylenebutenolidase.,4-carboxymethylenebut-2-en-4-olide + H(2)O = 4 oxohex-2-enedioate.,\N,\N,"1,4-Dichlorobenzene degradation",Biodegradation of Xenobiotics,METABOLIC
6696,2.7.7.-,Nucleotidyltransferases.,\N,\N,\N,  DNA polymerase,REPLICATION AND REPAIR,REGULATORY
6696,2.7.7.-,Nucleotidyltransferases.,\N,\N,\N,Ubiquinone biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
6698,2.4.1.16,Chitin synthase.,"UDP-N-acetyl-D-glucosamine + {(1,4)-(N-acetyl-beta-D-glucosaminyl)}(N) = UDP + {(1,4)-(N-acetyl-beta-D-glucosaminyl)}(N+1).",\N,\N,Aminosugars metabolism,Metabolism of Complex Carbohydrates,METABOLIC
6699,6.3.2.19,Ubiquitin--protein ligase.,ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.,\N,\N,\N,\N,\N
6700,1.1.1.86,Ketol-acid reductoisomerase.,"(R)-2,3-dihydroxy-3-methylbutanoate + NADP(+) = (S)-2-hydroxy-2-methyl- 3-oxobutanoate + NADPH.",\N,\N,"Valine, leucine and isoleucine biosynthesis",Amino Acid Metabolism,METABOLIC
6700,1.1.1.86,Ketol-acid reductoisomerase.,"(R)-2,3-dihydroxy-3-methylbutanoate + NADP(+) = (S)-2-hydroxy-2-methyl- 3-oxobutanoate + NADPH.",\N,\N,Pantothenate and CoA biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
6705,2.4.1.41,Polypeptide N-acetylgalactosaminyltransferase.,UDP-N-acetyl-D-galactosamine + polypeptide = UDP + N-acetyl-D- galactosaminyl-polypeptide.,Manganese; Calcium.,\N,O-Glycans biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
6727,3.5.2.5,Allantoinase.,Allantoin + H(2)O = allantoate.,\N,\N,Purine metabolism,Nucleotide Metabolism,METABOLIC
6731,2.4.1.-,Hexosyltransferases.,\N,\N,\N,O-Glycans biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
6731,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC
6731,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Peptidoglycan biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
6731,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Sphingoglycolipid metabolism,Metabolism of Complex Lipids,METABOLIC
6731,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Blood group glycolipid biosynthesis - lact series,Metabolism of Complex Lipids,METABOLIC
6731,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Blood group glycolipid biosynthesis - neolact series,Metabolism of Complex Lipids,METABOLIC
6731,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
6731,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Globoside metabolism,Metabolism of Complex Lipids,METABOLIC
6731,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Chondroitin / heparan sulfate biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
6731,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Keratan sulfate biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
6731,2.4.1.-,Hexosyltransferases.,\N,\N,\N,N-Glycans biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
6735,1.8.3.2,Thiol oxidase.,4 R'C(R)SH + O(2) = 2 R'C(R)S-S(R)CR' + 2 H(2)O.,\N,\N,\N,\N,\N
6740,1.2.1.41,Glutamate-5-semialdehyde dehydrogenase.,L-glutamate 5-semialdehyde + phosphate + NADP(+) = L-gamma- glutamyl 5-phosphate + NADPH.,\N,\N,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
6740,1.2.1.41,Glutamate-5-semialdehyde dehydrogenase.,L-glutamate 5-semialdehyde + phosphate + NADP(+) = L-gamma- glutamyl 5-phosphate + NADPH.,\N,\N,Urea cycle and metabolism of amino groups,Amino Acid Metabolism,METABOLIC
6743,5.2.1.8,Peptidylprolyl isomerase.,Peptidylproline (omega=180) = peptidylproline (omega=0).,\N,\N,\N,\N,\N
6744,4.2.1.22,Cystathionine beta-synthase.,L-serine + L-homocysteine = cystathionine + H(2)O.,Pyridoxal-phosphate.,Homocystinuria I (classic form); MIM:236200.,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC
6744,4.2.1.22,Cystathionine beta-synthase.,L-serine + L-homocysteine = cystathionine + H(2)O.,Pyridoxal-phosphate.,Homocystinuria I (classic form); MIM:236200.,Methionine metabolism,Amino Acid Metabolism,METABOLIC
6744,4.2.1.22,Cystathionine beta-synthase.,L-serine + L-homocysteine = cystathionine + H(2)O.,Pyridoxal-phosphate.,Homocystinuria I (classic form); MIM:236200.,Selenoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC
6745,1.1.1.10,L-xylulose reductase.,Xylitol + NADP(+) = L-xylulose + NADPH.,\N,Pentosuria; MIM:260800.,Pentose and glucuronate interconversions,Carbohydrate Metabolism,METABOLIC
6747,6.2.1.16,Acetoacetate--CoA ligase.,ATP + acetoacetate + CoA = AMP + diphosphate + acetoacetyl-CoA.,\N,\N,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC
6749,1.14.11.12,Gibberellin-44 dioxygenase.,Gibberellin 44 + 2-oxoglutarate + O(2) = gibberellin 19 + succinate + CO(2).,Iron.,\N,\N,\N,\N
6754,6.3.2.17,Folylpolyglutamate synthase.,ATP + {tetrahydrofolyl-[Glu]}(N) + L-glutamate = ADP + phosphate + {tetrahydrofolyl-[Glu]}(N+1).,\N,\N,Folate biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
6768,5.1.3.3,Aldose 1-epimerase.,Alpha-D-glucose = beta-D-glucose.,\N,\N,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism,METABOLIC
6775,1.14.14.1,Unspecific monooxygenase.,RH + reduced flavoprotein + O(2) = ROH + oxidized flavoprotein + H(2)O.,Heme-thiolate.,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
6775,1.14.14.1,Unspecific monooxygenase.,RH + reduced flavoprotein + O(2) = ROH + oxidized flavoprotein + H(2)O.,Heme-thiolate.,\N,Fatty acid metabolism,Lipid Metabolism,METABOLIC
6775,1.14.14.1,Unspecific monooxygenase.,RH + reduced flavoprotein + O(2) = ROH + oxidized flavoprotein + H(2)O.,Heme-thiolate.,\N,gamma-Hexachlorocyclohexane degradation,Biodegradation of Xenobiotics,METABOLIC
6788,2.3.1.85,Fatty-acid synthase.,Acetyl-CoA + N malonyl-CoA + 2N NADPH = a long-chain fatty acid + (N+1) CoA + N CO(2) + 2N NADP(+).,\N,\N,Fatty acid biosynthesis (path 1),Lipid Metabolism,METABOLIC
6790,2.3.1.85,Fatty-acid synthase.,Acetyl-CoA + N malonyl-CoA + 2N NADPH = a long-chain fatty acid + (N+1) CoA + N CO(2) + 2N NADP(+).,\N,\N,Fatty acid biosynthesis (path 1),Lipid Metabolism,METABOLIC
6792,1.14.-.-,"Acting on paired donors, with incorporation or reduction of",\N,\N,\N,gamma-Hexachlorocyclohexane degradation,Biodegradation of Xenobiotics,METABOLIC
6792,1.14.-.-,"Acting on paired donors, with incorporation or reduction of",\N,\N,\N,Ascorbate and aldarate metabolism,Carbohydrate Metabolism,METABOLIC
6792,1.14.-.-,"Acting on paired donors, with incorporation or reduction of",\N,\N,\N,"Flavonoids, stilbene and lignin biosynthesis",Biosynthesis of Secondary Metabolites,METABOLIC
6792,1.14.-.-,"Acting on paired donors, with incorporation or reduction of",\N,\N,\N,Fluorene degradation,Biodegradation of Xenobiotics,METABOLIC
6793,3.1.2.-,Thiolester hydrolases.,\N,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
6802,2.3.1.31,Homoserine O-acetyltransferase.,Acetyl-CoA + L-homoserine = CoA + O-acetyl-L-homoserine.,\N,\N,Sulfur metabolism,Energy Metabolism,METABOLIC
6802,2.3.1.31,Homoserine O-acetyltransferase.,Acetyl-CoA + L-homoserine = CoA + O-acetyl-L-homoserine.,\N,\N,Methionine metabolism,Amino Acid Metabolism,METABOLIC
6806,3.4.19.12,Ubiquitinyl hydrolase 1.,"Thiol-dependent hydrolysis of ester, thiolester, amide, peptide and isopeptide bonds formed by the C-terminal Gly of ubiquitin (a 76-residue protein attached to proteins as an intracellular targeting signal).",\N,\N,\N,\N,\N
6814,3.2.1.113,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase.","Hydrolysis of the terminal 1,2-linked alpha-D-mannose residues in the oligo-mannose oligosaccharide Man(9)(GlcNAc)(2).",\N,\N,N-Glycans biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
6816,3.2.1.58,"Glucan 1,3-beta-glucosidase.","Successive hydrolysis of beta-D-glucose units from the non-reducing ends of 1,3-beta-D-glucans, releasing alpha-glucose.",\N,\N,Starch and sucrose metabolism,Metabolism of Complex Carbohydrates,METABOLIC
6818,3.6.1.1,Inorganic pyrophosphatase.,Diphosphate + H(2)O = 2 phosphate.,\N,\N,Oxidative phosphorylation,Energy Metabolism,METABOLIC
6820,2.7.7.13,Mannose-1-phosphate guanylyltransferase.,GTP + alpha-D-mannose 1-phosphate = diphosphate + GDP-mannose.,\N,\N,Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC
6828,1.14.13.22,Cyclohexanone monooxygenase.,Cyclohexanone + NADPH + O(2) = 6-hexanolide + NADP(+) + H(2)O.,FAD.,\N,Caprolactam degradation,Biodegradation of Xenobiotics,METABOLIC
6835,3.1.27.1,Ribonuclease T2.,"Two-stage endonucleolytic cleavage to 3'-phosphomononucleotides and 3'-phosphooligonucleotides with 2',3'-cyclic phosphate intermediates.",\N,\N,\N,\N,\N
6841,3.1.1.23,Acylglycerol lipase.,Hydrolyses glycerol monoesters of long-chain fatty acids.,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
6843,3.5.1.5,Urease.,Urea + H(2)O = CO(2) + 2 NH(3).,Nickel.,\N,Purine metabolism,Nucleotide Metabolism,METABOLIC
6843,3.5.1.5,Urease.,Urea + H(2)O = CO(2) + 2 NH(3).,Nickel.,\N,Atrazine degradation,Biodegradation of Xenobiotics,METABOLIC
6843,3.5.1.5,Urease.,Urea + H(2)O = CO(2) + 2 NH(3).,Nickel.,\N,Urea cycle and metabolism of amino groups,Amino Acid Metabolism,METABOLIC
6845,1.6.2.2,Cytochrome-b5 reductase.,NADH + 2 ferricytochrome b5 = NAD(+) + 2 ferrocytochrome b5.,FAD.,"Methemoglobinemia enzymopathic forms I, II, III; MIM:250800.",\N,\N,\N
6851,3.5.1.49,Formamidase.,Formamide + H(2)O = formate + NH(3).,\N,\N,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism,METABOLIC
6851,3.5.1.49,Formamidase.,Formamide + H(2)O = formate + NH(3).,\N,\N,Nitrogen metabolism,Energy Metabolism,METABOLIC
6851,3.5.1.49,Formamidase.,Formamide + H(2)O = formate + NH(3).,\N,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
6852,3.1.-.-,Acting on ester bonds.,\N,\N,\N,\N,\N,\N
6859,4.2.1.75,Uroporphyrinogen-III synthase.,Hydroxymethylbilane = uroporphyrinogen-III + H(2)O.,\N,\N,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
6874,3.5.3.1,Arginase.,L-arginine + H(2)O = L-ornithine + urea.,Manganese.,Argininemia; MIM:207800.,Urea cycle and metabolism of amino groups,Amino Acid Metabolism,METABOLIC
6874,3.5.3.1,Arginase.,L-arginine + H(2)O = L-ornithine + urea.,Manganese.,Argininemia; MIM:207800.,Arginine and proline metabolism,Amino Acid Metabolism,METABOLIC
6888,3.4.19.12,Ubiquitinyl hydrolase 1.,"Thiol-dependent hydrolysis of ester, thiolester, amide, peptide and isopeptide bonds formed by the C-terminal Gly of ubiquitin (a 76-residue protein attached to proteins as an intracellular targeting signal).",\N,\N,\N,\N,\N
6891,3.4.21.-,Serine endopeptidases.,\N,\N,\N,\N,\N,\N
6893,1.1.1.169,2-dehydropantoate 2-reductase.,(R)-pantoate + NADP(+) = 2-dehydropantoate + NADPH.,\N,\N,Pantothenate and CoA biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
6894,3.2.1.14,Chitinase.,"Hydrolysis of the 1,4-beta-linkages of N-acetyl-D-glucosamine polymers of chitin.",\N,\N,Aminosugars metabolism,Metabolism of Complex Carbohydrates,METABOLIC
6897,1.1.1.85,3-isopropylmalate dehydrogenase.,3-carboxy-2-hydroxy-4-methylpentanoate + NAD(+) = 3-carboxy-4-methyl-2- oxopentanoate + NADH.,\N,\N,"Valine, leucine and isoleucine biosynthesis",Amino Acid Metabolism,METABOLIC
6908,6.1.1.6,Lysine--tRNA ligase.,ATP + L-lysine + tRNA(Lys) = AMP + diphosphate + L-lysyl-tRNA(Lys).,\N,\N,Lysine biosynthesis,Amino Acid Metabolism,METABOLIC
6908,6.1.1.6,Lysine--tRNA ligase.,ATP + L-lysine + tRNA(Lys) = AMP + diphosphate + L-lysyl-tRNA(Lys).,\N,\N,  Aminoacyl-tRNA biosynthesis,TRANSLATION,REGULATORY
6911,3.6.3.44,Xenobiotic-transporting ATPase.,ATP + H(2)O + xenobiotic(In) = ADP + phosphate + xenobiotic(Out).,\N,\N,\N,\N,\N
6913,3.6.4.-,Acting on acid anhydrides; involved in cellular and,\N,\N,\N,\N,\N,\N
6914,3.6.4.-,Acting on acid anhydrides; involved in cellular and,\N,\N,\N,\N,\N,\N
6917,4.2.1.3,Aconitate hydratase.,Citrate = cis-aconitate + H(2)O.,Iron-sulfur.,\N,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism,METABOLIC
6917,4.2.1.3,Aconitate hydratase.,Citrate = cis-aconitate + H(2)O.,Iron-sulfur.,\N,Reductive carboxylate cycle (CO2 fixation),Energy Metabolism,METABOLIC
6917,4.2.1.3,Aconitate hydratase.,Citrate = cis-aconitate + H(2)O.,Iron-sulfur.,\N,Citrate cycle (TCA cycle),Carbohydrate Metabolism,METABOLIC
6921,2.4.1.15,"Alpha,alpha-trehalose-phosphate synthase (UDP-forming).","UDP-glucose + D-glucose 6-phosphate = UDP + alpha,alpha-trehalose 6-phosphate.",\N,\N,Starch and sucrose metabolism,Metabolism of Complex Carbohydrates,METABOLIC
6928,4.2.1.75,Uroporphyrinogen-III synthase.,Hydroxymethylbilane = uroporphyrinogen-III + H(2)O.,\N,\N,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
6935,2.7.7.6,DNA-directed RNA polymerase.,N nucleoside triphosphate = N diphosphate + {RNA}(N).,\N,\N,  RNA polymerase,TRANSCRIPTION,REGULATORY
6935,2.7.7.6,DNA-directed RNA polymerase.,N nucleoside triphosphate = N diphosphate + {RNA}(N).,\N,\N,Purine metabolism,Nucleotide Metabolism,METABOLIC
6935,2.7.7.6,DNA-directed RNA polymerase.,N nucleoside triphosphate = N diphosphate + {RNA}(N).,\N,\N,Pyrimidine metabolism,Nucleotide Metabolism,METABOLIC
6938,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+).,"(5Z,13E)-(15S)-11-alpha,15-dihydroxy-9-oxoprost-13-enoate + NAD(+) = (5Z,13E)-11-alpha-hydroxy-9,15-dioxoprost-13-enoate + NADH.",\N,\N,\N,\N,\N
6940,2.7.1.-,Phosphotransferases with an alcohol group as acceptor.,\N,\N,\N,Sphingoglycolipid metabolism,Metabolism of Complex Lipids,METABOLIC
6940,2.7.1.-,Phosphotransferases with an alcohol group as acceptor.,\N,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
6940,2.7.1.-,Phosphotransferases with an alcohol group as acceptor.,\N,\N,\N,Starch and sucrose metabolism,Metabolism of Complex Carbohydrates,METABOLIC
6940,2.7.1.-,Phosphotransferases with an alcohol group as acceptor.,\N,\N,\N,Inositol phosphate metabolism,Metabolism of Complex Lipids,METABOLIC
6940,2.7.1.-,Phosphotransferases with an alcohol group as acceptor.,\N,\N,\N,Nicotinate and nicotinamide metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
6942,2.1.2.1,Glycine hydroxymethyltransferase.,"5,10-methylenetetrahydrofolate + glycine + H(2)O = tetrahydrofolate + L-serine.",Pyridoxal-phosphate.,\N,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC
6942,2.1.2.1,Glycine hydroxymethyltransferase.,"5,10-methylenetetrahydrofolate + glycine + H(2)O = tetrahydrofolate + L-serine.",Pyridoxal-phosphate.,\N,Methane metabolism,Energy Metabolism,METABOLIC
6942,2.1.2.1,Glycine hydroxymethyltransferase.,"5,10-methylenetetrahydrofolate + glycine + H(2)O = tetrahydrofolate + L-serine.",Pyridoxal-phosphate.,\N,Lysine degradation,Amino Acid Metabolism,METABOLIC
6942,2.1.2.1,Glycine hydroxymethyltransferase.,"5,10-methylenetetrahydrofolate + glycine + H(2)O = tetrahydrofolate + L-serine.",Pyridoxal-phosphate.,\N,Cyanoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC
6942,2.1.2.1,Glycine hydroxymethyltransferase.,"5,10-methylenetetrahydrofolate + glycine + H(2)O = tetrahydrofolate + L-serine.",Pyridoxal-phosphate.,\N,One carbon pool by folate,Metabolism of Cofactors and Vitamins,METABOLIC
6949,2.1.1.37,DNA (cytosine-5-)-methyltransferase.,S-adenosyl-L-methionine + DNA = S-adenosyl-L-homocysteine + DNA containing 5-methylcytosine.,\N,\N,Methionine metabolism,Amino Acid Metabolism,METABOLIC
6958,3.5.4.3,Guanine deaminase.,Guanine + H(2)O = xanthine + NH(3).,\N,\N,Purine metabolism,Nucleotide Metabolism,METABOLIC
6960,4.1.1.15,Glutamate decarboxylase.,L-glutamate = 4-aminobutanoate + CO(2).,Pyridoxal-phosphate.,Pyridoxine-dependent infantile convulsions; MIM:266100.,Taurine and hypotaurine metabolism,Metabolism of Other Amino Acids,METABOLIC
6960,4.1.1.15,Glutamate decarboxylase.,L-glutamate = 4-aminobutanoate + CO(2).,Pyridoxal-phosphate.,Pyridoxine-dependent infantile convulsions; MIM:266100.,Alanine and aspartate metabolism,Amino Acid Metabolism,METABOLIC
6960,4.1.1.15,Glutamate decarboxylase.,L-glutamate = 4-aminobutanoate + CO(2).,Pyridoxal-phosphate.,Pyridoxine-dependent infantile convulsions; MIM:266100.,beta-Alanine metabolism,Metabolism of Other Amino Acids,METABOLIC
6960,4.1.1.15,Glutamate decarboxylase.,L-glutamate = 4-aminobutanoate + CO(2).,Pyridoxal-phosphate.,Pyridoxine-dependent infantile convulsions; MIM:266100.,Glutamate metabolism,Amino Acid Metabolism,METABOLIC
6960,4.1.1.15,Glutamate decarboxylase.,L-glutamate = 4-aminobutanoate + CO(2).,Pyridoxal-phosphate.,Pyridoxine-dependent infantile convulsions; MIM:266100.,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC
6963,3.6.4.3,Microtubule-severing ATPase.,ATP + H(2)O = ADP + phosphate.,\N,\N,\N,\N,\N
6969,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
6969,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
6969,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Cyanoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC
6969,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Phenylalanine metabolism,Amino Acid Metabolism,METABOLIC
6969,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Arginine and proline metabolism,Amino Acid Metabolism,METABOLIC
6969,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Styrene degradation,Biodegradation of Xenobiotics,METABOLIC
6975,3.5.2.9,5-oxoprolinase (ATP-hydrolysing).,ATP + 5-oxo-L-proline + 2 H(2)O = ADP + phosphate + L-glutamate.,\N,\N,Glutathione metabolism,Metabolism of Other Amino Acids,METABOLIC
6983,3.1.-.-,Acting on ester bonds.,\N,\N,\N,\N,\N,\N
6985,3.5.2.3,Dihydroorotase.,(S)-dihydroorotate + H(2)O = N-carbamoyl-L-aspartate.,\N,\N,Pyrimidine metabolism,Nucleotide Metabolism,METABOLIC
6986,2.1.1.-,Methyltransferases.,\N,\N,\N,Androgen and estrogen metabolism,Lipid Metabolism,METABOLIC
6986,2.1.1.-,Methyltransferases.,\N,\N,\N,Aminophosphonate metabolism,Metabolism of Other Amino Acids,METABOLIC
6986,2.1.1.-,Methyltransferases.,\N,\N,\N,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
6986,2.1.1.-,Methyltransferases.,\N,\N,\N,Ubiquinone biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
6986,2.1.1.-,Methyltransferases.,\N,\N,\N,Histidine metabolism,Amino Acid Metabolism,METABOLIC
6986,2.1.1.-,Methyltransferases.,\N,\N,\N,Selenoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC
6986,2.1.1.-,Methyltransferases.,\N,\N,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
6986,2.1.1.-,Methyltransferases.,\N,\N,\N,Tyrosine metabolism,Amino Acid Metabolism,METABOLIC
6993,3.1.1.8,Cholinesterase.,An acylcholine + H(2)O = choline + a carboxylic acid anion.,\N,Drug induced (postanesthetic) apnea; MIM:177400.,\N,\N,\N
7000,6.1.1.2,Tryptophan--tRNA ligase.,ATP + L-tryptophan + tRNA(Trp) = AMP + diphosphate + L-tryptophanyl- tRNA(Trp).,\N,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
7000,6.1.1.2,Tryptophan--tRNA ligase.,ATP + L-tryptophan + tRNA(Trp) = AMP + diphosphate + L-tryptophanyl- tRNA(Trp).,\N,\N,  Aminoacyl-tRNA biosynthesis,TRANSLATION,REGULATORY
7004,1.14.11.-,"With 2-oxoglutarate as one donor, and incorporation of one",\N,\N,\N,\N,\N,\N
7007,3.2.1.101,"Mannan endo-1,6-beta-mannosidase.","Random hydrolysis of 1,6-beta-D-mannosidic linkages in unbranched 1,6-mannans.",\N,\N,\N,\N,\N
7010,2.4.2.30,NAD(+) ADP-ribosyltransferase.,NAD(+) + {ADP-D-ribosyl}(N)-acceptor = nicotinamide + {ADP-D-ribosyl}(N+1)-acceptor.,\N,\N,\N,\N,\N
7013,1.1.1.42,Isocitrate dehydrogenase (NADP+).,Isocitrate + NADP(+) = 2-oxoglutarate + CO(2) + NADPH.,\N,\N,Citrate cycle (TCA cycle),Carbohydrate Metabolism,METABOLIC
7013,1.1.1.42,Isocitrate dehydrogenase (NADP+).,Isocitrate + NADP(+) = 2-oxoglutarate + CO(2) + NADPH.,\N,\N,Reductive carboxylate cycle (CO2 fixation),Energy Metabolism,METABOLIC
7013,1.1.1.42,Isocitrate dehydrogenase (NADP+).,Isocitrate + NADP(+) = 2-oxoglutarate + CO(2) + NADPH.,\N,\N,Glutathione metabolism,Metabolism of Other Amino Acids,METABOLIC
7018,2.4.1.141,N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase.,"UDP-N-acetyl-D-glucosamine + N-acetyl-D-glucosaminyl-diphosphodolichol = UDP + N,N''-diacetylchitobiosyldiphosphodolichol.",\N,\N,N-Glycans biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
7025,3.6.4.-,Acting on acid anhydrides; involved in cellular and,\N,\N,\N,\N,\N,\N
7030,3.4.13.19,Membrane dipeptidase.,"Hydrolysis of dipeptides. Hydrophobic dipeptides are cleaved preferentially, including prolyl amino acids.",Zinc.,\N,\N,\N,\N
7031,1.1.1.95,Phosphoglycerate dehydrogenase.,3-phosphoglycerate + NAD(+) = 3-phosphohydroxypyruvate + NADH.,\N,3-phosphoglycerate dehydrogenase deficiency; MIM:601815.,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC
7035,1.1.1.208,(+)-neomenthol dehydrogenase.,(+)-neomenthol + NADP(+) = (-)-menthone + NADPH.,\N,\N,\N,\N,\N
7036,1.14.11.18,Phytanoyl-CoA dioxygenase.,Phytanoyl-CoA + 2-oxoglutarate + O(2) = 2-hydroxyphytanoyl-CoA + succinate + CO(2).,2-oxoglutarate; Fe(II); Ascorbate.,Refsum disease; MIM:266500.,\N,\N,\N
7042,2.4.1.16,Chitin synthase.,"UDP-N-acetyl-D-glucosamine + {(1,4)-(N-acetyl-beta-D-glucosaminyl)}(N) = UDP + {(1,4)-(N-acetyl-beta-D-glucosaminyl)}(N+1).",\N,\N,Aminosugars metabolism,Metabolism of Complex Carbohydrates,METABOLIC
7044,3.6.1.17,Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical).,"P(1),P(4)-bis(5'-guanosyl)tetraphosphate + H(2)O = GTP + GMP.",\N,\N,Pyrimidine metabolism,Nucleotide Metabolism,METABOLIC
7044,3.6.1.17,Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical).,"P(1),P(4)-bis(5'-guanosyl)tetraphosphate + H(2)O = GTP + GMP.",\N,\N,Purine metabolism,Nucleotide Metabolism,METABOLIC
7045,3.4.23.18,Aspergillopepsin I.,"Hydrolysis of proteins with broad specificity. Generally favors hydrophobic residues in P1 and P1', but also accepts Lys in P1, which leads to activation of trypsinogen. Does not clot milk.",\N,\N,\N,\N,\N
7052,1.14.13.9,Kynurenine 3-monooxygenase.,L-kynurenine + NADPH + O(2) = 3-hydroxy-L-kynurenine + NADP(+) + H(2)O.,FAD.,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
7053,1.14.14.1,Unspecific monooxygenase.,RH + reduced flavoprotein + O(2) = ROH + oxidized flavoprotein + H(2)O.,Heme-thiolate.,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
7053,1.14.14.1,Unspecific monooxygenase.,RH + reduced flavoprotein + O(2) = ROH + oxidized flavoprotein + H(2)O.,Heme-thiolate.,\N,Fatty acid metabolism,Lipid Metabolism,METABOLIC
7053,1.14.14.1,Unspecific monooxygenase.,RH + reduced flavoprotein + O(2) = ROH + oxidized flavoprotein + H(2)O.,Heme-thiolate.,\N,gamma-Hexachlorocyclohexane degradation,Biodegradation of Xenobiotics,METABOLIC
7068,4.1.1.1,Pyruvate decarboxylase.,A 2-oxo acid = an aldehyde + CO(2).,Thiamine pyrophosphate.,\N,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism,METABOLIC
